EmployeeID,AttendancePercentage,LeavesTaken,JobSatisfaction,WorkLifeBalance,Attrition
EMP00001,86.6,21,3,2,No
EMP00002,98.6,5,1,1,Yes
EMP00003,88.0,2,3,2,No
EMP00004,90.0,4,1,2,No
EMP00005,88.2,2,2,5,No
EMP00006,79.5,25,2,4,No
EMP00007,91.6,14,2,1,No
EMP00008,93.0,15,5,3,No
EMP00009,82.1,3,4,5,No
EMP00010,86.3,3,1,5,No
EMP00011,86.2,6,2,5,No
EMP00012,95.1,22,4,4,No
EMP00013,92.4,10,5,1,No
EMP00014,85.4,0,3,4,No
EMP00015,83.5,27,4,1,No
EMP00016,87.1,29,3,4,No
EMP00017,81.7,5,3,3,No
EMP00018,93.7,0,3,4,No
EMP00019,79.9,29,5,4,Yes
EMP00020,84.9,27,3,3,Yes
EMP00021,97.0,23,2,1,No
EMP00022,81.2,17,3,5,No
EMP00023,99.1,26,2,3,No
EMP00024,95.5,11,1,3,Yes
EMP00025,75.3,20,2,5,No
EMP00026,94.2,9,4,5,No
EMP00027,80.5,19,3,1,Yes
EMP00028,95.7,6,3,4,No
EMP00029,77.8,0,1,3,No
EMP00030,94.0,7,5,3,No
EMP00031,85.8,27,1,2,Yes
EMP00032,82.8,22,4,1,No
EMP00033,86.8,24,5,5,No
EMP00034,87.7,26,5,3,No
EMP00035,90.1,18,3,5,No
EMP00036,77.7,23,5,2,No
EMP00037,99.3,6,1,2,No
EMP00038,89.1,2,1,4,No
EMP00039,80.1,20,1,5,No
EMP00040,92.9,0,4,1,No
EMP00041,87.4,9,3,1,No
EMP00042,87.3,12,1,1,No
EMP00043,95.0,26,5,3,No
EMP00044,75.9,21,4,4,No
EMP00045,93.3,4,4,3,Yes
EMP00046,91.4,8,4,4,Yes
EMP00047,99.9,28,1,3,No
EMP00048,80.7,21,1,1,Yes
EMP00049,90.4,20,5,5,No
EMP00050,87.7,3,2,2,No
EMP00051,81.7,12,5,2,No
EMP00052,76.3,16,2,1,Yes
EMP00053,93.2,16,2,2,No
EMP00054,75.7,28,1,2,No
EMP00055,93.0,1,5,4,No
EMP00056,84.4,25,1,4,No
EMP00057,79.5,0,3,1,No
EMP00058,92.3,14,2,5,No
EMP00059,84.2,19,4,2,No
EMP00060,90.3,13,2,5,No
EMP00061,75.3,26,2,5,No
EMP00062,82.8,24,1,1,No
EMP00063,92.8,11,2,3,No
EMP00064,75.6,30,3,2,No
EMP00065,84.6,11,3,1,No
EMP00066,96.1,16,2,5,No
EMP00067,84.4,10,3,2,Yes
EMP00068,87.8,12,3,5,No
EMP00069,94.5,6,5,3,No
EMP00070,96.2,19,5,3,No
EMP00071,82.8,18,3,1,No
EMP00072,87.1,24,5,3,Yes
EMP00073,76.7,16,4,3,No
EMP00074,79.5,14,5,3,No
EMP00075,77.8,21,2,5,No
EMP00076,91.4,7,4,3,No
EMP00077,87.7,15,2,3,No
EMP00078,93.6,11,3,5,No
EMP00079,92.7,11,5,5,No
EMP00080,95.1,13,4,3,No
EMP00081,92.3,11,5,3,No
EMP00082,77.8,28,2,5,No
EMP00083,84.0,5,2,1,No
EMP00084,90.0,6,3,2,No
EMP00085,94.0,21,3,2,No
EMP00086,76.7,3,4,1,No
EMP00087,75.6,25,1,4,No
EMP00088,88.3,19,1,4,No
EMP00089,76.1,9,1,1,No
EMP00090,90.4,17,1,1,No
EMP00091,84.1,23,5,1,No
EMP00092,85.7,17,2,2,No
EMP00093,91.1,21,1,5,No
EMP00094,90.2,21,5,4,No
EMP00095,98.6,20,3,2,No
EMP00096,76.2,26,1,2,No
EMP00097,83.1,9,2,3,No
EMP00098,94.7,4,2,1,No
EMP00099,95.2,14,1,2,No
EMP00100,83.8,1,1,3,No
EMP00101,77.4,17,5,2,Yes
EMP00102,92.9,22,3,4,No
EMP00103,85.6,28,4,5,No
EMP00104,88.2,13,5,3,No
EMP00105,96.5,24,1,1,No
EMP00106,79.5,23,2,5,No
EMP00107,92.6,3,4,3,No
EMP00108,99.4,10,1,1,No
