EmployeeID,Salary,Bonus,OvertimeHours
EMP00001,41971,20084,28
EMP00002,43108,39913,24
EMP00003,35361,16298,19
EMP00004,74040,35251,26
EMP00005,107779,34297,15
EMP00006,56284,27083,10
EMP00007,149044,49998,36
EMP00008,138063,7339,26
EMP00009,46791,37231,2
EMP00010,55824,49727,35
EMP00011,102154,6839,10
EMP00012,143253,11083,15
EMP00013,134676,41990,11
EMP00014,155536,14154,14
EMP00015,32875,11243,37
EMP00016,165173,13512,6
EMP00017,77400,11314,32
EMP00018,120105,16523,23
EMP00019,148146,28668,19
EMP00020,121789,39769,40
EMP00021,29093,28382,12
EMP00022,67374,27612,32
EMP00023,56429,16882,10
EMP00024,133874,7058,37
EMP00025,128084,11231,22
EMP00026,104130,15340,40
EMP00027,174128,25693,21
EMP00028,149554,11261,37
EMP00029,131028,33501,18
EMP00030,75224,8626,28
EMP00031,174161,36033,3
EMP00032,143974,26795,38
EMP00033,178644,22630,38
EMP00034,104459,5003,25
EMP00035,132707,49823,17
EMP00036,105146,39225,38
EMP00037,119574,40364,36
EMP00038,99186,25562,16
EMP00039,50447,29020,40
EMP00040,88810,39150,25
EMP00041,102678,11081,24
EMP00042,124913,21083,9
EMP00043,111648,43688,38
EMP00044,110208,13875,15
EMP00045,155629,18262,31
EMP00046,162357,27475,36
EMP00047,177765,42756,23
EMP00048,171971,29668,40
EMP00049,28188,36499,39
EMP00050,34377,40673,8
EMP00051,76345,33350,1
EMP00052,93856,27973,9
EMP00053,82250,15517,27
EMP00054,129337,46852,25
EMP00055,152992,9203,37
EMP00056,163136,6925,27
EMP00057,42120,11034,16
EMP00058,99092,34138,34
EMP00059,79499,44657,36
EMP00060,70652,46917,32
EMP00061,78399,16146,33
EMP00062,28417,30259,9
EMP00063,98717,12431,36
EMP00064,99027,46334,35
EMP00065,86193,29310,29
EMP00066,85178,47681,15
EMP00067,159184,45206,17
EMP00068,135094,31678,33
EMP00069,176074,27171,22
EMP00070,47186,18840,5
EMP00071,102276,27395,19
EMP00072,146844,28427,21
EMP00073,101529,45509,39
EMP00074,46065,48760,18
EMP00075,66054,46986,23
