EmployeeID,PerformanceRating,TrainingHours,Promotion
EMP00001,5,3,Yes
EMP00002,2,70,Yes
EMP00003,5,51,Yes
EMP00004,5,39,No
EMP00005,4,71,Yes
EMP00006,2,17,No
EMP00007,4,26,No
EMP00008,3,74,Yes
EMP00009,4,11,Yes
EMP00010,4,54,No
EMP00011,3,77,No
EMP00012,4,50,Yes
EMP00013,4,76,Yes
EMP00014,4,46,No
EMP00015,3,48,Yes
EMP00016,3,33,Yes
EMP00017,2,52,No
EMP00018,2,33,Yes
EMP00019,5,74,No
EMP00020,2,22,No
EMP00021,4,24,No
EMP00022,4,15,No
EMP00023,2,22,Yes
EMP00024,2,69,No
EMP00025,4,34,No
EMP00026,4,3,No
EMP00027,2,76,Yes
EMP00028,4,32,No
EMP00029,3,46,No
EMP00030,3,21,No
EMP00031,5,36,No
EMP00032,3,67,No
EMP00033,4,13,No
EMP00034,4,5,Yes
EMP00035,3,28,Yes
EMP00036,2,25,Yes
EMP00037,4,73,Yes
EMP00038,4,62,Yes
EMP00039,4,26,Yes
EMP00040,4,8,No
EMP00041,4,79,No
EMP00042,2,48,No
EMP00043,5,24,No
EMP00044,5,53,No
EMP00045,3,38,No
EMP00046,5,9,No
EMP00047,4,79,No
EMP00048,5,5,Yes
EMP00049,4,36,Yes
EMP00050,5,43,Yes
EMP00051,4,63,Yes
EMP00052,2,34,Yes
EMP00053,4,26,Yes
EMP00054,5,77,No
EMP00055,5,28,No
EMP00056,2,43,Yes
EMP00057,2,20,No
EMP00058,5,2,No
EMP00059,2,68,Yes
EMP00060,2,28,Yes
EMP00061,3,30,Yes
EMP00062,3,70,Yes
EMP00063,4,60,Yes
EMP00064,2,8,Yes
EMP00065,5,73,No
EMP00066,2,58,Yes
EMP00067,2,45,No
EMP00068,3,52,Yes
EMP00069,5,25,Yes
EMP00070,5,67,No
EMP00071,4,5,Yes
EMP00072,5,3,No
EMP00073,3,37,No
EMP00074,2,13,Yes
EMP00075,2,79,No
EMP00076,3,78,Yes
EMP00077,5,40,Yes
EMP00078,2,50,No
EMP00079,3,9,Yes
EMP00080,3,72,Yes
EMP00081,2,26,No
EMP00082,2,71,No
EMP00083,3,45,Yes
EMP00084,2,56,Yes
EMP00085,3,58,Yes
EMP00086,5,62,No
EMP00087,2,2,Yes
EMP00088,3,71,Yes
EMP00089,5,19,Yes
EMP00090,4,77,No
EMP00091,4,79,No
EMP00092,5,65,No
EMP00093,4,8,No
EMP00094,5,26,No
EMP00095,2,44,No
EMP00096,4,41,Yes
EMP00097,2,37,No
EMP00098,5,36,No
EMP00099,2,9,No
EMP00100,5,78,No
EMP00101,2,60,Yes
EMP00102,2,13,Yes
EMP00103,5,41,Yes
EMP00104,2,45,Yes
EMP00105,2,63,No
EMP00106,5,32,No
EMP00107,5,32,No
EMP00108,5,66,No
EMP00109,5,68,No
EMP00110,5,59,Yes
EMP00111,4,19,No
EMP00112,4,74,Yes
EMP00113,4,77,No
EMP00114,2,41,Yes
EMP00115,4,20,No
EMP00116,2,50,No
EMP00117,2,73,Yes
EMP00118,3,72,Yes
EMP00119,5,30,No
EMP00120,2,16,No
EMP00121,4,22,No
EMP00122,3,35,Yes
EMP00123,4,64,Yes
EMP00124,3,56,Yes
EMP00125,3,25,No
EMP00126,2,14,Yes
EMP00127,5,41,Yes
EMP00128,4,16,No
EMP00129,2,67,No
EMP00130,3,13,No
EMP00131,3,45,No
EMP00132,5,19,No
EMP00133,5,6,Yes
EMP00134,4,31,Yes
EMP00135,2,49,Yes
EMP00136,2,1,Yes
EMP00137,5,41,No
EMP00138,3,71,Yes
EMP00139,5,27,No
EMP00140,3,28,No
EMP00141,2,3,No
EMP00142,3,14,Yes
EMP00143,4,47,No
EMP00144,4,60,Yes
EMP00145,5,6,No
EMP00146,4,75,No
EMP00147,3,55,No
EMP00148,3,12,No
EMP00149,2,65,No
EMP00150,2,45,Yes
EMP00151,4,3,No
EMP00152,2,51,Yes
EMP00153,2,7,Yes
EMP00154,4,18,No
EMP00155,3,22,No
EMP00156,2,0,Yes
EMP00157,5,50,No
EMP00158,5,30,Yes
EMP00159,4,0,No
EMP00160,4,79,No
EMP00161,3,41,Yes
EMP00162,4,16,No
EMP00163,4,75,No
EMP00164,4,49,No
EMP00165,3,72,No
